Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Child Health Center,Queens,Elmhurst Hospital Center,,718-334-4000,"79 01
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)",,,,,,,,,
Nursing Home,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397447676, -73.98759853472393)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,"1 Main St Roosevelt Island
New York, NY 10044
(40.76197648622593, -73.94999967494499)",10044,40.756368,-73.956054,8,5,23801,1085548,1013730020,Lenox Hill-Roosevelt Island                                                
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,,212-848-6000 ,"900 Main Street Roosevelt Island
New York, NY 10044
(40.76197648622593, -73.94999967494499)",10044,40.7698,-73.941218,8,5,23802,1040750,1013730050,Lenox Hill-Roosevelt Island                                                
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397447676, -73.98759853472393)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Acute Care Hospital,Manhattan,Bellevue Hospital Center,,212-562-4141,"462 First Avenue
New York, NY 10016
(40.73962320748018, -73.97657284664467)",10016,40.739173,-73.976862,6,4,62,1086515,1009620100,Murray Hill-Kips Bay                                                       
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,"760 Broadway
Brooklyn, NY 11206
(40.70052661478004, -73.94164385876527)",11206,40.700528,-73.941604,3,36,28501,3048341,3017230001,Bushwick South                                                             
Child Health Center,Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,"90 37 Parsons Boulevard
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)",11432,40.703826,-73.800483,12,24,44601,4208836,4097560006,Jamaica                                                                    
Acute Care Hospital,Brooklyn,Coney Island Hospital,,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.58664543395709, -73.96583011577816)",11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Child Health Center,Queens,South Queens Community Health Center,,718-883-6699,"114 02 Guy R Brewer Blvd
Jamaica, NY 11434
(40.6769452621142, -73.77530690169215)",11434,40.688615,-73.785593,12,28,276,4264631,4122000052,Baisley Park                                                               
Child Health Center,Manhattan,Judson Health Center,,212-925-5000,"34 Spring Street
New York, NY 10012
(40.72173569231745, -73.9957194126485)",10012,40.721721,-73.995732,2,1,41,1007180,1004800021,SoHo-TriBeCa-Civic Center-Little Italy                                     
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,"1091 Sutter Avenue
Brooklyn, NY 11208
(40.671899036220196, -73.87831881794278)",11208,40.671892,-73.878197,5,42,1194,3089620,3040390001,East New York                                                              
Child Health Center,Brooklyn,Homecrest Child Health Clinic,between E. 16th St. & E. 17th St.,718-339-6243,"1601 Avenue
Brooklyn, NY 11229
(40.60123350732056, -73.94436854117521)",,,,,,,,,
Acute Care Hospital,Queens,Elmhurst Hospital Center,,718-334-4000,"79 01
Elmhurst, NY 11373
(40.73871040256307, -73.87835115518163)",,,,,,,,,
Diagnostic & Treatment Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,"100 Portland Avenue
Brooklyn, NY 11205
(40.69514358466528, -73.97623557216579)",,,,,,,,,
Child Health Center,Brooklyn,Williamsburg Health Center,,718-963-7820,"279 Graham Avenue
Brooklyn, NY 11211
(40.712103238035546, -73.94399407154296)",11211,40.712046,-73.943989,1,34,495,3069418,3027820024,East Williamsburg                                                          
Nursing Home,Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,,718-245-7000,"594 Albany Avenue
Brooklyn, NY 11203
(40.660054516809524, -73.93976149574165)",11203,40.659968,-73.939733,9,40,808,3327674,3048120001,Prospect Lefferts Gardens-Wingate                                          
Acute Care Hospital,Queens,Queens Hospital Center,,718-883-3000,"82 70 164th Street
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)",11432,40.717209,-73.803419,8,24,1267,4442433,4068580001,Pomonok-Flushing Heights-Hillcrest                                         
Nursing Home,Staten Island,Sea View Hospital Rehabilitation Center & Home,,718-317-3000,"460 Brielle Avenue Staten Island
NY 10314
(40.597953866387, -74.13176632590061)",10314,40.593798,-74.135437,2,50,181,5141697,5009550100,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
Child Health Center,Manhattan,Smith Communicare Health Center,corner of Catherine St.,212-346-0500,"60 Madison Street
New York, NY 10038
(40.71196972987868, -73.99754221557811)",10038,40.712019,-73.997309,3,1,25,1077421,1001110100,Chinatown                                                                  
Child Health Center,Brooklyn,Jonathan Williams Houses Child Health Clinic,between Roebling Street & Division Ave.,718-387-6407,"118 Roebling Street
Brooklyn, NY 11211
(40.7153676098287, -73.95616582356922)",11211,40.715381,-73.956135,1,33,519,3324885,3023370027,North Side-South Side                                                      
Child Health Center,Staten Island,Stapleton Child Health Clinic,between Water St. & Canal St.,718-390-0712,"111 Canal Street Staten Island
NY 10304
(40.626576449488084, -74.07699447008653)",10304,40.626584,-74.076758,1,49,21,5013729,5005230001,Stapleton-Rosebank                                                         
Child Health Center,Staten Island,Mariner's Harbor Houses Child Health Clinic,,718-761-2060,"2040 Forest Avenue Staten Island
NY 10303
(40.62609762250995, -74.157474896698)",10303,40.626017,-74.156541,1,49,30302,5110626,5016960008,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Child Health Center,Brooklyn,Brownsville Child Health Clinic,between Dumont Ave. & Blake Ave.,718-495-7283,"259 Bristol Street
Brooklyn, NY 11212
(40.66491117049781, -73.9114109163207)",11212,40.664827,-73.911415,16,41,924,3081765,3035590011,Brownsville                                                                
Child Health Center,Brooklyn,Eleanor Roosevelt Houses Child Health Clinic,between Lewis Ave. & Stuyvesant Ave.,718-452-1146,"388 Pulaski Street
Brooklyn, NY 11206
(40.693923715490335, -73.93545687521755)",11206,40.694049,-73.934552,3,36,289,3324972,3015980001,Stuyvesant Heights                                                         
Acute Care Hospital,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,"760 Broadway
Brooklyn, NY 11206
(40.70052661478004, -73.94164385876527)",11206,40.700528,-73.941604,3,36,28501,3048341,3017230001,Bushwick South                                                             
Child Health Center,Queens,Springfield Gardens Medical Center,,718-883-6800,"134 64 Springfield Blvd Springfield Gardens
NY 11413
(40.66971118122609, -73.75087393328533)",11413,40.678997,-73.754077,12,27,352,4279935,4129990220,St. Albans                                                                 
Child Health Center,Brooklyn,Sumner Avenue Houses Child Health Clinic,between Myrtle Ave. & Park Ave.,718-455-3884,"47 Marcus Garvey Boulevard
Brooklyn, NY 11206
(40.697855287659436, -73.94100661082196)",11206,40.697945,-73.941018,3,36,28502,3324728,3015800001,Stuyvesant Heights                                                         
Child Health Center,Queens,Corona Child Health Clinic,between 104th St. & 106th St.,718-334-6100,"104 04 Corona Avenue
Corona, NY 11368
(40.749678220373596, -73.85304068857687)",11368,40.744001,-73.858404,4,21,439,4047629,4019350068,Corona                                                                     
Child Health Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,"2094 Pitkin Avenue
Brooklyn, NY 11225
(40.671962495106705, -73.89520529393025)",11207,40.671977,-73.895248,5,42,1144,3083929,3037380015,East New York (Pennsylvania Ave)                                           
Child Health Center,Manhattan,Baruch Houses Family Health Center,corner of Columbia St.,212-673-5990,"280 Delancey Street
New York, NY 10002
(40.71636701786879, -73.98013566050324)",10002,40.716079,-73.980373,3,2,1002,1078039,1003230001,Lower East Side                                                            
Child Health Center,Brooklyn,Coney Island Hospital,,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.58664543395709, -73.96583011577816)",11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Diagnostic & Treatment Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,"2094 Pitkin Avenue
Brooklyn, NY 11207
(40.671962495106705, -73.89520529393025)",11207,40.671977,-73.895248,5,42,1144,3083929,3037380015,East New York (Pennsylvania Ave)                                           
Child Health Center,Brooklyn,Bushwick Communicare,between Linden St. & Grove St.,718-573-4860,"335 Central Avenue
Brooklyn, NY 11221
(40.69473842718728, -73.91922391666616)",11221,40.694674,-73.919153,4,37,417,3076115,3033240001,Bushwick South                                                             
Child Health Center,Brooklyn,Williamsburg Child Health Clinic,between Power & Grand St.,718-387-2211,"279 Graham Ave
Brooklyn, NY 11206
(40.712103238035546, -73.94399407154296)",11211,40.712046,-73.943989,1,34,495,3069418,3027820024,East Williamsburg                                                          
Child Health Center,Manhattan,Bellevue Hospital Center,,212-562-4141,"462 First Avenue
New York, NY 10016
(40.73962320748018, -73.97657284664467)",10016,40.739173,-73.976862,6,4,62,1086515,1009620100,Murray Hill-Kips Bay                                                       
Child Health Center,Queens,Junction Boulevard Child Health Clinic,between 34th Ave. & 35th Ave.,718-334-6150,"34 33 Junction Boulevard Jackson Heights
NY 11372
(40.75163073936716, -73.88361254528269)",11372,40.754179,-73.872231,3,21,375,4042887,4017290027,North Corona                                                               
Child Health Center,Brooklyn,Ida G. Israel Community Health Center,W. 22nd St. & W. 23rd St.,718-946-3400,"2201 Neptune Avenue
Brooklyn, NY 11224
(40.578488319966645, -73.98949714812117)",11224,40.578468,-73.989614,13,47,348,3188417,3069900001,Seagate-Coney Island                                                       
Child Health Center,Manhattan,Roberto Clemente Health Center,,212-387-7400,"540 13th Street
New York, NY 10009
(40.72930119328952, -73.97991662823794)",,,,,,,,,
Child Health Center,Brooklyn,Fort Greene Child Health Clinic,between DeKalb Ave. & Willoughby Ave.,718-260-7500 ext. 7859,"295 Flatbush Avenue Extension
Brooklyn, NY 11201
(40.69205340232306, -73.98241301998932)",11201,40.691986,-73.982496,2,35,15,3058406,3020790021,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Child Health Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,"100 Portland Avenue
Brooklyn, NY 11205
(40.69514358466528, -73.97623557216579)",,,,,,,,,
Child Health Center,Manhattan,Gouverneur Diagnostic & Treatment Center,,212-238-7200,"227 Madison Street
New York, NY 10002
(40.712841397447676, -73.98759853472393)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Acute Care Hospital,Brooklyn,Kings County Hospital Center,,718-245-3131,"451 Clarkson Avenue
Brooklyn, NY 11203
(40.65576180860461, -73.94466261553725)",11203,40.655762,-73.94458,9,40,808,3327711,3048290001,Prospect Lefferts Gardens-Wingate                                          
Child Health Center,Queens,Queens Hospital Center,,718-883-3000,"82 68 164th Street
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928)",11432,40.71725,-73.803433,8,24,1267,4442431,4068580001,Pomonok-Flushing Heights-Hillcrest                                         
Child Health Center,Queens,Woodside Houses Child Health Clinic,between Northern Blvd. & 50th St.,718-334-6140,"50 53 Newtown Road
Woodside, NY 11377
(40.74519376448069, -73.9048471440804)",11377,40.753164,-73.910752,1,26,163,4430994,4007360002,Astoria                                                                    
Child Health Center,Brooklyn,Crown Heights Child Health Clinic,,718-735-0561,"1218 Prospect Place
Brooklyn, NY 11213
(40.67349222287333, -73.93570169738597)",11213,40.67353,-73.935845,8,36,345,3036147,3013650009,Crown Heights North                                                        
Child Health Center,Brooklyn,Greenpoint Community Health Center,,718-630-3220,"875 Manhattan Avenue
Brooklyn, NY 11222
(40.729665609685696, -73.95404546005379)",11222,40.729708,-73.954055,1,33,565,3064836,3025630048,Greenpoint                                                                 
Child Health Center,Brooklyn,Lafayette Houses Child Health Clinic,between Classon Ave. & Taffee Place,718-638-8258,"434 Dekalb Avenue
Brooklyn, NY 11205
(40.69036662899639, -73.95978265948307)",11205,40.690361,-73.960108,3,35,233,3321871,3019380001,Bedford                                                                    
Child Health Center,Brooklyn,Kings County Hospital Center,,718-245-3131,"451 Clarkson Avenue
Brooklyn, NY 11203
(40.65576180860461, -73.94466261553725)",11203,40.655762,-73.94458,9,40,808,3327711,3048290001,Prospect Lefferts Gardens-Wingate                                          
Child Health Center,Brooklyn,Bushwick Community Health Center,,718-919-1200,"1420 Bushwick Avenue
Brooklyn, NY 11207
(40.68430356626175, -73.90908238517792)",11207,40.684318,-73.909056,4,37,403,3080067,3034440022,Bushwick South                                                             
Child Health Center,Queens,Ridgewood Communicare Clinic,between Woodbine St. & Madison St.,718-334-6190,"769 Onderdonk Avenue
Ridgewood, NY 11385
(40.702949636007894, -73.90543308996985)",11385,40.702972,-73.905489,5,34,549,4083018,4034700054,Ridgewood                                                                  
